Cpf,Nome,DataNascimento,Endereco,Telefone,Alergias,HistoricoMedico,MedicamentosEmUso,Observacoes,ContatosEmergencia
45454545454,Gabriela Costa,1979-09-10,Rua N,45454545, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
56565656565,Marcos Oliveira,1994-03-28,Rua O,56565656, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
67676767676,Patricia Lima,1986-02-13,Rua P,67676767, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
78787878787,Andre Souza,1999-08-02,Rua Q,78787878, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
89898989899,Leticia Almeida,1983-06-16,Rua R,89898989, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
90909090908,Eduardo Santos,1977-05-07,Rua S,90909090, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
01010101011,Carla Fernandes,1997-01-26,Rua T,01010101, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
12121212122,Roberto Silva,1981-09-13,Rua U,12121212, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
23232323233,Amanda Costa,1992-07-05,Rua V,23232323, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
34343434344,Pedro Oliveira,1989-04-18,Rua W,34343434, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
45454545455,Larissa Lima,1976-12-10,Rua X,45454545, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
56565656566,Fernando Souza,1995-08-28,Rua Y,56565656, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
67676767677,Marina Costa,1980-07-01,Rua Z,67676767, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
78787878788,Arthur Oliveira,1993-04-19,Rua A1,78787878, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
89898989898,Sabrina Almeida,1979-02-08,Rua B1,89898989, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
90909090909,Gustavo Santos,1998-11-27,Rua C1,90909090, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
01010101010,Bruna Fernandes,1982-10-16,Rua D1,01010101, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
12121212123,Leandro Silva,1996-07-05,Rua E1,12121212, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
23232323234,Luciana Costa,1987-04-28,Rua F1,23232323, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
34343434345,Marcelo Oliveira,1990-01-09,Rua G1,34343434, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
45454545456,Alice Lima,1978-10-22,Rua H1,45454545, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
56565656568,Vinicius Souza,1985-07-31,Rua I1,56565656, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
67676767679,Lorena Costa,1992-05-18,Rua J1,67676767, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
78787878789,Enzo Oliveira,1977-03-08,Rua K1,78787878, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
